filename,nb_elves,nb_toys,last_toy_timestamp,score
../DATA/my_solution_third_num_elves_150_num_toys_1000000_prod_3_5_minutes_60.csv,150,1000000,2014-03-17 18:31:00,547440.420275
../DATA/my_solution_third_num_elves_150_num_toys_1000000_prod_3_5_minutes_120.csv,150,1000000,2014-03-17 18:26:00,547415.333876
../DATA/my_solution_third_num_elves_300_num_toys_1000000_prod_3_5_minutes_60.csv,300,1000000,2014-02-24 12:34:00,448088.055326
../DATA/my_solution_third_num_elves_300_num_toys_1000000_prod_3_5_minutes_120.csv,300,1000000,2014-02-24 12:35:00,448093.762437
../DATA/my_solution_third_num_elves_500_num_toys_1000000_prod_3_5_minutes_60.csv,500,1000000,2014-02-24 11:57:00,487860.596995
../DATA/my_solution_third_num_elves_500_num_toys_1000000_prod_3_5_minutes_120.csv,500,1000000,2014-02-24 11:57:00,487860.596995
../DATA/my_solution_third_num_elves_50_num_toys_2000000_prod_3_5_minutes_60.csv,50,2000000,2015-03-17 15:17:00,2494810.204999
../DATA/my_solution_third_num_elves_50_num_toys_2000000_prod_3_5_minutes_120.csv,50,2000000,2015-03-17 15:24:00,2494837.727779
../DATA/my_solution_third_num_elves_150_num_toys_2000000_prod_3_5_minutes_60.csv,150,2000000,2014-05-29 17:59:00,1074696.323766
../DATA/my_solution_third_num_elves_150_num_toys_2000000_prod_3_5_minutes_120.csv,150,2000000,2014-05-29 17:59:00,1074696.323766
../DATA/my_solution_third_num_elves_300_num_toys_2000000_prod_3_5_minutes_60.csv,300,2000000,2014-04-19 18:57:00,894058.772745
../DATA/my_solution_third_num_elves_300_num_toys_2000000_prod_3_5_minutes_120.csv,300,2000000,2014-04-19 18:57:00,894058.772745
../DATA/my_solution_third_num_elves_500_num_toys_2000000_prod_3_5_minutes_60.csv,500,2000000,2014-04-19 18:57:00,973874.861978
../DATA/my_solution_third_num_elves_500_num_toys_2000000_prod_3_5_minutes_120.csv,500,2000000,2014-04-19 18:57:00,973874.861978
../DATA/my_solution_third_num_elves_500_num_toys_10000000_prod_3_5_minutes_120.csv,500,10000000,2879-01-16 15:36:00,2828362663.341689
../DATA/my_solution_third_num_elves_700_num_toys_10000000_prod_3_5_minutes_120.csv,700,10000000,2633-09-29 19:16:00,2135814819.098864
../DATA/my_solution_third_num_elves_100_num_toys_10000000_prod_3_5_minutes_120.csv,100,10000000,6308-09-05 04:12:00,10424548252.976049
../DATA/my_solution_third_num_elves_200_num_toys_10000000_prod_3_5_minutes_120.csv,200,10000000,4168-10-15 07:08:00,6010284391.201042
../DATA/my_solution_third_num_elves_300_num_toys_10000000_prod_3_5_minutes_120.csv,300,10000000,3452-04-05 08:28:00,4317150568.100692
../DATA/my_solution_third_num_elves_400_num_toys_10000000_prod_3_5_minutes_120.csv,400,10000000,3093-12-04 10:12:00,3404483609.834658
../DATA/my_solution_third_num_elves_900_num_toys_10000000_prod_3_5_minutes_120.csv,900,10000000,2500-07-09 06:00:00,1740908411.478062
